# PDB Code: 1ua7
# Beta: 100.0
# Mutation Method: Point Mutation
# Embedding Difference Method: None
# Reference File: 1ua7.pdb
# Protected Indices: "[173, 205, 266]"
PDB File,Iteration,Delta E,Emut,Hamming Distance,RMSD_pymol_global,RMSD_pymol_local,RMSD_stef_global,RMSD_stef_local,TM_score_global,TM_score_local,lDDT_global,lDDT_local
msk_1ua7_beta_100.0_seq_132.pdb,1330,6.711483001708984e-05,0.3363067309061686,367,22.406557083129883,13.619651794433594,29.249146,13.619652,,,0.18577392421323058,0.08333333333333333
msk_1ua7_beta_100.0_seq_133.pdb,1340,-0.0029920736948648,0.3254376252492269,369,21.27605438232422,14.042007446289062,26.931808,14.042007,,,0.18434890815671162,0.0
msk_1ua7_beta_100.0_seq_134.pdb,1350,-0.0005337794621785,0.3465211391448974,369,21.548580169677734,14.792752265930176,22.915865,14.792752,,,0.19328034682080925,0.0
msk_1ua7_beta_100.0_seq_135.pdb,1360,-0.0001884698867797,0.3399484157562256,371,19.3676815032959,6.794154167175293,20.784672,6.794154,,,0.2023723506743738,0.16666666666666666
msk_1ua7_beta_100.0_seq_136.pdb,1370,0.0002780755360921,0.3366933663686117,373,21.203824996948242,15.299166679382324,25.360302,15.299167,,,0.19030989081567115,0.0
msk_1ua7_beta_100.0_seq_137.pdb,1380,0.0003678003946939,0.3413411776224772,374,22.08879280090332,13.020346641540527,23.131693,13.020347,,,0.19119299935773926,0.0
msk_1ua7_beta_100.0_seq_138.pdb,1390,0.0004735787709554,0.3504496415456136,375,23.34779930114746,12.926607131958008,30.665747,12.926607,,,0.1834256583172768,0.0
msk_1ua7_beta_100.0_seq_139.pdb,1400,-0.0005005598068237,0.3559739192326864,375,23.491294860839844,13.941519737243652,28.289602,13.941521,,,0.17770552344251767,0.25
msk_1ua7_beta_100.0_seq_14.pdb,150,0.0002478758494059,0.0897291501363118,122,3.1835548877716064,0.28151679039001465,4.0097733,0.281517,,,0.7615606936416186,0.9166666666666666
msk_1ua7_beta_100.0_seq_140.pdb,1410,-0.0048793951670328,0.352118968963623,376,22.33181381225586,12.879514694213867,31.566156,12.879516,,,0.1742132305716121,0.0
msk_1ua7_beta_100.0_seq_141.pdb,1420,0.0036660830179851,0.3612111409505208,376,21.79432487487793,13.051194190979004,27.547256,13.051195,,,0.1825626204238921,0.0
msk_1ua7_beta_100.0_seq_142.pdb,1430,0.0003636280695596,0.358273426691691,376,20.51842498779297,13.483405113220215,22.219862,13.483404,,,0.18280346820809248,0.08333333333333333
msk_1ua7_beta_100.0_seq_143.pdb,1440,0.4767924745877584,0.8219473958015442,375,21.35906410217285,10.913801193237305,27.18949,10.913801,,,0.19000883108542066,0.0
msk_1ua7_beta_100.0_seq_144.pdb,1450,0.0001095533370971,0.3441150983174642,374,24.109472274780273,10.671812057495117,25.657831,10.671812,,,0.19747511239563262,0.0
msk_1ua7_beta_100.0_seq_145.pdb,1460,0.0013558467229207,0.3508889675140381,374,23.631032943725586,10.824831008911133,32.69454,10.824831,,,0.17318962748876043,0.08333333333333333
msk_1ua7_beta_100.0_seq_146.pdb,1470,0.0259231726328531,0.3801538944244385,375,23.284826278686523,12.121589660644531,26.81227,12.121589,,,0.1826830443159923,0.0
msk_1ua7_beta_100.0_seq_147.pdb,1480,0.0062680641810098,0.360059380531311,377,21.174606323242188,1.3200476169586182,28.100863,1.3200477,,,0.22005459216441875,0.6666666666666666
msk_1ua7_beta_100.0_seq_148.pdb,1490,0.0048524538675943,0.3694353103637695,376,19.779441833496094,8.304557800292969,22.76867,8.304558,,,0.19613037893384713,0.16666666666666666
msk_1ua7_beta_100.0_seq_149.pdb,1500,0.001104712486267,0.352709968884786,376,19.97911262512207,1.237457275390625,26.964142,1.2374575,,,0.23372270391779063,0.5833333333333333
msk_1ua7_beta_100.0_seq_15.pdb,160,0.0008008480072021,0.096424659093221,127,3.0504870414733887,0.3042046129703522,3.6937566,0.30420458,,,0.7644107257546564,1.0
msk_1ua7_beta_100.0_seq_150.pdb,1510,-0.0027226209640502,0.3494455416997274,377,23.245466232299805,12.814943313598633,24.170565,12.814942,,,0.18045520231213874,0.0
msk_1ua7_beta_100.0_seq_151.pdb,1520,0.0001755555470784,0.3709232807159424,378,21.06744956970215,12.777846336364746,24.072134,12.777846,,,0.17886962106615284,0.0
msk_1ua7_beta_100.0_seq_152.pdb,1530,0.0004058281580607,0.370819886525472,380,22.819427490234375,12.365669250488281,31.281794,12.36567,,,0.1796523763648041,0.0
msk_1ua7_beta_100.0_seq_153.pdb,1540,-0.0013515949249267,0.3740633328755697,380,21.819705963134766,15.901737213134766,26.793982,15.901737,,,0.1756583172768144,0.0
msk_1ua7_beta_100.0_seq_154.pdb,1550,0.0016416708628336,0.3793355623881022,381,21.752336502075195,17.367338180541992,27.375914,17.367338,,,0.17074100834938985,0.0
msk_1ua7_beta_100.0_seq_155.pdb,1560,4.704793294263432e-05,0.3711349169413248,382,22.526891708374023,16.369873046875,27.906569,16.369875,,,0.16855330764290302,0.0
msk_1ua7_beta_100.0_seq_156.pdb,1570,0.0025290648142496,0.3805415630340576,381,23.69154167175293,10.782388687133789,25.498493,10.78239,,,0.18280346820809248,0.0
msk_1ua7_beta_100.0_seq_157.pdb,1580,-0.000234564145406,0.3824332555135091,382,21.74256134033203,14.722469329833984,32.603794,14.722469,,,0.18015414258188825,0.0
msk_1ua7_beta_100.0_seq_158.pdb,1590,-0.0018865267435709,0.386280616124471,382,20.470460891723633,14.783681869506836,28.686953,14.783683,,,0.1821009955041747,0.0
msk_1ua7_beta_100.0_seq_159.pdb,1600,-0.0011077721913655,0.3940474987030029,385,23.406177520751953,15.12804889678955,28.197626,15.128049,,,0.1724068721901092,0.08333333333333333
msk_1ua7_beta_100.0_seq_16.pdb,170,0.0002992947896321,0.1052788098653157,131,3.415105104446411,0.23333454132080078,3.747065,0.23333444,,,0.751585581245986,1.0
